ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10664936,HZ415689,09/01/2016 02:40:00 AM,035XX W 78TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0835,008,18,70,03,1154236,1852654,2016,09/08/2016 03:48:43 PM,41.751502831,-87.710373514,"(41.751502831, -87.710373514)"
10664954,HZ415691,09/01/2016 02:45:00 AM,052XX S WELLS ST,0865,THEFT,DELIVERY CONTAINER THEFT,STREET,false,false,0935,009,3,37,06,1175489,1870310,2016,09/08/2016 03:48:43 PM,41.799504173,-87.631963762,"(41.799504173, -87.631963762)"
10664940,HZ415677,09/01/2016 02:45:00 AM,084XX S MANISTEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0423,004,7,46,08B,1195959,1849573,2016,09/08/2016 03:48:43 PM,41.742117619,-87.557582223,"(41.742117619, -87.557582223)"
10672832,HZ424397,09/01/2016 02:51:00 AM,018XX N BURLING ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK),false,false,1813,018,43,7,26,1170997,1912407,2016,09/12/2016 03:57:28 PM,41.915121102,-87.647203352,"(41.915121102, -87.647203352)"
10673241,HZ424620,09/01/2016 03:00:00 AM,018XX W RICE ST,0810,THEFT,OVER $500,PARK PROPERTY,false,false,1212,012,1,24,06,1163929,1905706,2016,09/12/2016 03:57:28 PM,41.896885311,-87.673359713,"(41.896885311, -87.673359713)"
10673062,HZ424921,09/01/2016 03:00:00 AM,116XX S CHURCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2212,022,34,75,08B,1165357,1827573,2016,09/12/2016 03:57:28 PM,41.682448371,-87.670327915,"(41.682448371, -87.670327915)"
10665736,HZ416434,09/01/2016 03:00:00 AM,059XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0712,007,16,68,08B,1170989,1865541,2016,09/08/2016 03:48:43 PM,41.786517079,-87.648605673,"(41.786517079, -87.648605673)"
10665680,HZ416383,09/01/2016 03:00:00 AM,110XX S STATE ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,false,0513,005,34,49,20,1178209,1831939,2016,09/08/2016 03:48:43 PM,41.694148281,-87.623150288,"(41.694148281, -87.623150288)"
10665395,HZ415743,09/01/2016 03:00:00 AM,085XX S LOOMIS BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0614,006,21,71,26,1168488,1848081,2016,09/08/2016 03:48:43 PM,41.738658839,-87.658278017,"(41.738658839, -87.658278017)"
10664964,HZ415683,09/01/2016 03:02:00 AM,018XX N BURLING ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1813,018,43,7,05,1171002,1912259,2016,09/08/2016 03:48:43 PM,41.914714873,-87.647189332,"(41.914714873, -87.647189332)"
10664952,HZ415699,09/01/2016 03:10:00 AM,113XX S EDBROOKE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0531,005,9,49,03,1179220,1829895,2016,09/08/2016 03:48:43 PM,41.688516319,-87.619510791,"(41.688516319, -87.619510791)"
10664963,HZ415685,09/01/2016 03:18:00 AM,038XX W 16TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1014,010,24,29,08B,1150894,1891768,2016,09/08/2016 03:48:43 PM,41.858903078,-87.721600321,"(41.858903078, -87.721600321)"
10666348,HZ417170,09/01/2016 03:20:00 AM,018XX N HALSTED ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,1813,018,43,7,06,1170674,1912400,2016,09/08/2016 03:48:43 PM,41.915108979,-87.648390214,"(41.915108979, -87.648390214)"
10664962,HZ415692,09/01/2016 03:20:00 AM,033XX W CRYSTAL ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,true,1422,014,26,23,04A,1153787,1908120,2016,09/08/2016 03:48:43 PM,41.903717596,-87.710545441,"(41.903717596, -87.710545441)"
10670043,HZ421561,09/01/2016 03:28:00 AM,020XX N HONORE ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,false,false,1432,014,32,22,26,1163695,1913614,2016,09/08/2016 03:48:43 PM,41.918590357,-87.673995899,"(41.918590357, -87.673995899)"
10664976,HZ415700,09/01/2016 03:47:00 AM,033XX W OGDEN AVE,1330,CRIMINAL TRESPASS,TO LAND,POLICE FACILITY/VEH PARKING LOT,true,false,1024,010,24,29,26,1154489,1891024,2016,09/08/2016 03:48:43 PM,41.856790413,-87.708424071,"(41.856790413, -87.708424071)"
10664994,HZ415695,09/01/2016 03:51:00 AM,047XX N ST LOUIS AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,false,false,1723,017,33,14,04B,1152199,1931174,2016,09/08/2016 03:48:43 PM,41.967011098,-87.715768556,"(41.967011098, -87.715768556)"
10664992,HZ415697,09/01/2016 03:55:00 AM,002XX E OHIO ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1834,018,42,8,03,1178221,1904255,2016,09/08/2016 03:48:43 PM,41.892590019,-87.620912214,"(41.892590019, -87.620912214)"
10681318,HZ433829,09/01/2016 04:00:00 AM,063XX S WOLCOTT AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0726,007,15,67,06,1164772,1862657,2016,09/19/2016 03:49:04 PM,41.778736614,-87.671481839,"(41.778736614, -87.671481839)"
10676881,HZ429676,09/01/2016 04:00:00 AM,023XX N KENMORE AVE,0810,THEFT,OVER $500,COLLEGE/UNIVERSITY RESIDENCE HALL,false,false,1811,018,32,7,06,1168905,1915778,2016,09/15/2016 03:48:20 PM,41.924416977,-87.654791085,"(41.924416977, -87.654791085)"
10665413,HZ415801,09/01/2016 04:00:00 AM,001XX S SPRINGFIELD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1122,011,28,26,03,1150408,1899296,2016,09/08/2016 03:48:43 PM,41.879570265,-87.72318787,"(41.879570265, -87.72318787)"
10665163,HZ415820,09/01/2016 04:00:00 AM,044XX N SAWYER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1724,017,33,14,06,1153917,1929395,2016,09/08/2016 03:48:43 PM,41.962095257,-87.709499288,"(41.962095257, -87.709499288)"
10664985,HZ415705,09/01/2016 04:00:00 AM,031XX N NEW ENGLAND AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2511,025,36,18,03,1129871,1920149,2016,09/08/2016 03:48:43 PM,41.937169546,-87.79812021,"(41.937169546, -87.79812021)"
10664972,HZ415707,09/01/2016 04:01:00 AM,071XX S VINCENNES AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,true,false,0731,007,6,69,07,1176561,1857529,2016,09/08/2016 03:48:43 PM,41.764407702,-87.628416731,"(41.764407702, -87.628416731)"
10666625,HZ417301,09/01/2016 04:15:00 AM,012XX W RACE AVE,0810,THEFT,OVER $500,STREET,false,false,1214,012,27,24,06,1168166,1903893,2016,09/08/2016 03:48:43 PM,41.891819824,-87.657850369,"(41.891819824, -87.657850369)"
10664996,HZ415713,09/01/2016 04:20:00 AM,058XX S ABERDEEN ST,0560,ASSAULT,SIMPLE,SIDEWALK,true,true,0712,007,16,68,08A,1169976,1866246,2016,09/08/2016 03:48:43 PM,41.788473759,-87.652299375,"(41.788473759, -87.652299375)"
10664983,HZ415702,09/01/2016 04:20:00 AM,020XX W DIVERSEY PKWY,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1931,019,1,7,04B,1162481,1918595,2016,09/08/2016 03:48:43 PM,41.932284067,-87.678316438,"(41.932284067, -87.678316438)"
10666938,HZ415966,09/01/2016 04:30:00 AM,018XX W ERIE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1221,012,1,24,06,1164003,1904378,2016,09/08/2016 03:48:43 PM,41.893239615,-87.673125455,"(41.893239615, -87.673125455)"
10665231,HZ415910,09/01/2016 04:30:00 AM,060XX S KOMENSKY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0813,008,13,65,05,1150407,1864143,2016,09/08/2016 03:48:43 PM,41.783105759,-87.72410694,"(41.783105759, -87.72410694)"
10681575,HZ434597,09/01/2016 05:00:00 AM,022XX S PRINCETON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,true,0914,009,25,34,26,1174562,1889549,2016,09/19/2016 03:49:04 PM,41.85231838,-87.634789632,"(41.85231838, -87.634789632)"
10669341,HZ420845,09/01/2016 05:00:00 AM,064XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,0312,003,20,42,14,1180357,1862443,2016,09/08/2016 03:48:43 PM,41.777806009,-87.614352959,"(41.777806009, -87.614352959)"
10667943,HZ418920,09/01/2016 05:00:00 AM,059XX N MAPLEWOOD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,2011,020,40,2,05,1158256,1939294,2016,09/08/2016 03:48:43 PM,41.989170802,-87.69327461,"(41.989170802, -87.69327461)"
10667516,HZ418308,09/01/2016 05:00:00 AM,131XX S CORLISS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0533,005,9,54,26,1184010,1818319,2016,09/08/2016 03:48:43 PM,41.65663988,-87.602334544,"(41.65663988, -87.602334544)"
10665398,HZ415717,09/01/2016 05:10:00 AM,013XX S WABASH AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0131,001,2,33,05,1176977,1894294,2016,09/08/2016 03:48:43 PM,41.865284723,-87.625782459,"(41.865284723, -87.625782459)"
10666092,HZ416853,09/01/2016 05:15:00 AM,062XX N HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2433,024,40,77,14,1163637,1941461,2016,09/08/2016 03:48:43 PM,41.995005054,-87.673421122,"(41.995005054, -87.673421122)"
10665010,HZ415723,09/01/2016 05:20:00 AM,054XX W WINDSOR AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1623,016,45,15,11,1139295,1929742,2016,09/08/2016 03:48:43 PM,41.963326988,-87.763250486,"(41.963326988, -87.763250486)"
10665394,HZ415719,09/01/2016 05:23:00 AM,018XX S WABASH AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0131,001,3,33,08A,1177049,1891470,2016,09/08/2016 03:48:43 PM,41.857533855,-87.625603607,"(41.857533855, -87.625603607)"
10666300,HZ415714,09/01/2016 05:30:00 AM,011XX E 47TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0222,002,4,39,08B,1184607,1874074,2016,09/08/2016 03:48:43 PM,41.809623853,-87.598408034,"(41.809623853, -87.598408034)"
10665534,HZ415739,09/01/2016 05:30:00 AM,004XX N DEARBORN ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1831,018,42,8,03,1175859,1903386,2016,09/08/2016 03:48:43 PM,41.890258925,-87.629612961,"(41.890258925, -87.629612961)"
10665503,HZ415736,09/01/2016 05:30:00 AM,038XX W 84TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0834,008,18,70,05,1152243,1848598,2016,09/08/2016 03:48:43 PM,41.740411839,-87.717783321,"(41.740411839, -87.717783321)"
10665405,HZ416002,09/01/2016 05:30:00 AM,001XX N PARKSIDE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1512,015,29,25,06,1138579,1900398,2016,09/08/2016 03:48:43 PM,41.88281685,-87.766596053,"(41.88281685, -87.766596053)"
10664993,HZ415716,09/01/2016 05:30:00 AM,012XX W 71ST ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0734,007,17,67,08B,1169000,1857692,2016,09/08/2016 03:48:43 PM,41.765021688,-87.656124993,"(41.765021688, -87.656124993)"
10691881,HZ446211,09/01/2016 05:38:00 AM,016XX W 63RD ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA BUS,false,false,0714,007,16,67,08B,1166640,1862931,2016,09/26/2016 03:52:09 PM,41.779448848,-87.664625788,"(41.779448848, -87.664625788)"
10665234,HZ415942,09/01/2016 05:40:00 AM,032XX W GRAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1121,011,26,23,06,1154544,1906323,2016,09/08/2016 03:48:43 PM,41.898771348,-87.707812918,"(41.898771348, -87.707812918)"
10665294,HZ415744,09/01/2016 05:50:00 AM,058XX N WESTERN AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,STREET,true,true,2012,020,40,4,20,1159270,1938608,2016,09/08/2016 03:48:43 PM,41.987267534,-87.689563935,"(41.987267534, -87.689563935)"
10665496,HZ415729,09/01/2016 05:55:00 AM,027XX W 68TH ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,HOSPITAL BUILDING/GROUNDS,false,false,0831,008,15,66,08B,1159381,1859440,2016,09/08/2016 03:48:43 PM,41.770020864,-87.6913338,"(41.770020864, -87.6913338)"
10678248,HZ431037,09/01/2016 06:00:00 AM,008XX W 103RD ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,2232,022,34,73,06,1172353,1836539,2016,09/15/2016 03:48:20 PM,41.706901881,-87.64445587,"(41.706901881, -87.64445587)"
10672283,HZ423943,09/01/2016 06:00:00 AM,047XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1911,019,47,4,06,1158183,1931355,2016,09/12/2016 03:57:28 PM,41.967387306,-87.693761141,"(41.967387306, -87.693761141)"
10668868,HZ420144,09/01/2016 06:00:00 AM,091XX S BRANDON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0424,004,10,46,26,1198915,1844920,2016,09/08/2016 03:48:43 PM,41.729275799,-87.546907508,"(41.729275799, -87.546907508)"
10668041,HZ419030,09/01/2016 06:00:00 AM,077XX N MARSHFIELD AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,VEHICLE - OTHER RIDE SERVICE,false,false,2422,024,49,1,11,1163977,1951188,2016,09/08/2016 03:48:43 PM,42.021688951,-87.671893993,"(42.021688951, -87.671893993)"
10667434,HZ416830,09/01/2016 06:00:00 AM,056XX S WABASH AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0225,002,20,40,05,1177678,1867609,2016,09/08/2016 03:48:43 PM,41.792043078,-87.624017919,"(41.792043078, -87.624017919)"
10665940,HZ415886,09/01/2016 06:00:00 AM,024XX W HARRISON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1135,011,2,28,06,,,2016,09/08/2016 03:48:43 PM,,,
10665020,HZ415725,09/01/2016 06:00:00 AM,025XX W FOSTER AVE,0460,BATTERY,SIMPLE,CTA BUS STOP,false,false,2011,020,40,4,08B,1158288,1934444,2016,09/08/2016 03:48:43 PM,41.975861526,-87.693290212,"(41.975861526, -87.693290212)"
10665856,HZ416206,09/01/2016 06:20:00 AM,062XX S CLAREMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0825,008,15,66,14,1161796,1863293,2016,09/08/2016 03:48:43 PM,41.780544222,-87.682374473,"(41.780544222, -87.682374473)"
10665002,HZ415720,09/01/2016 06:20:00 AM,064XX S MARYLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0312,003,20,42,14,1183004,1862534,2016,09/08/2016 03:48:43 PM,41.777994582,-87.604646278,"(41.777994582, -87.604646278)"
10667061,HZ417565,09/01/2016 06:30:00 AM,004XX W DIVISION ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1821,018,27,8,06,1173175,1908290,2016,09/08/2016 03:48:43 PM,41.903775756,-87.639324074,"(41.903775756, -87.639324074)"
10666041,HZ416692,09/01/2016 06:30:00 AM,109XX S INDIANA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0513,005,9,49,05,1179522,1832496,2016,09/08/2016 03:48:43 PM,41.695646959,-87.618326154,"(41.695646959, -87.618326154)"
10665701,HZ416348,09/01/2016 06:30:00 AM,015XX E 55TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,false,false,0234,002,4,41,11,1187488,1868839,2016,09/08/2016 03:48:43 PM,41.795190552,-87.588007653,"(41.795190552, -87.588007653)"
10665689,HZ416285,09/01/2016 06:30:00 AM,015XX E 55TH ST,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,0234,002,4,41,06,1187488,1868839,2016,09/08/2016 03:48:43 PM,41.795190552,-87.588007653,"(41.795190552, -87.588007653)"
10665507,HZ416105,09/01/2016 06:30:00 AM,005XX N CENTRAL AVE,0820,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1512,015,29,25,06,1138943,1902924,2016,09/08/2016 03:48:43 PM,41.889741913,-87.765198001,"(41.889741913, -87.765198001)"
10665393,HZ415754,09/01/2016 06:30:00 AM,013XX W 110TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2234,022,34,75,08A,1169427,1831822,2016,09/08/2016 03:48:43 PM,41.694021414,-87.655306831,"(41.694021414, -87.655306831)"
10665107,HZ415764,09/01/2016 06:40:00 AM,047XX S INDIANA AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,true,false,0224,002,3,38,26,1178400,1873553,2016,09/08/2016 03:48:43 PM,41.808337583,-87.621189912,"(41.808337583, -87.621189912)"
10665971,HZ416775,09/01/2016 06:45:00 AM,046XX N MARINE DR,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1914,019,46,3,06,1170399,1931093,2016,09/08/2016 03:48:43 PM,41.966409353,-87.648852157,"(41.966409353, -87.648852157)"
10665235,HZ415761,09/01/2016 06:45:00 AM,108XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,STREET,true,false,0513,005,9,49,08A,1178829,1833056,2016,09/08/2016 03:48:43 PM,41.697199437,-87.62084649,"(41.697199437, -87.62084649)"
10665110,HZ415768,09/01/2016 06:47:00 AM,018XX S MILLARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1014,010,24,29,08B,1152337,1890617,2016,09/08/2016 03:48:43 PM,41.855716264,-87.716333872,"(41.855716264, -87.716333872)"
10665252,HZ415737,09/01/2016 06:49:00 AM,012XX W 76TH ST,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,APARTMENT,false,false,0612,006,17,71,04A,1169352,1854428,2016,09/08/2016 03:48:43 PM,41.756057234,-87.654929158,"(41.756057234, -87.654929158)"
10665047,HZ415757,09/01/2016 06:50:00 AM,050XX N KOLMAR AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,1712,017,39,14,14,1145065,1933314,2016,09/08/2016 03:48:43 PM,41.973021528,-87.741945272,"(41.973021528, -87.741945272)"
10665125,HZ415769,09/01/2016 06:52:00 AM,017XX N MOODY AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),true,false,2513,025,29,25,06,1135145,1910968,2016,09/08/2016 03:48:43 PM,41.91188383,-87.778955239,"(41.91188383, -87.778955239)"
10666005,HZ416814,09/01/2016 06:55:00 AM,018XX S MILLARD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1014,010,24,29,06,1152337,1890617,2016,09/08/2016 03:48:43 PM,41.855716264,-87.716333872,"(41.855716264, -87.716333872)"
10672567,HZ424489,09/01/2016 07:00:00 AM,024XX N GREENVIEW AVE,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,1932,019,32,7,06,1165917,1916211,2016,09/12/2016 03:57:28 PM,41.92566951,-87.665757823,"(41.92566951, -87.665757823)"
10671455,HZ422843,09/01/2016 07:00:00 AM,061XX S KENWOOD AVE,1585,SEX OFFENSE,OTHER,NURSING HOME/RETIREMENT HOME,false,false,0314,003,20,42,17,1186129,1864575,2016,09/08/2016 03:48:43 PM,41.783522021,-87.593125671,"(41.783522021, -87.593125671)"
10670463,HZ422209,09/01/2016 07:00:00 AM,058XX W ADAMS BLVD,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,1513,015,29,25,07,1137644,1898519,2016,09/08/2016 03:48:43 PM,41.877677517,-87.770074746,"(41.877677517, -87.770074746)"
10670230,HZ422000,09/01/2016 07:00:00 AM,072XX W SUMMERDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1613,016,41,10,26,1127228,1934716,2016,09/08/2016 03:48:43 PM,41.97718791,-87.807505349,"(41.97718791, -87.807505349)"
10666035,HZ416854,09/01/2016 07:00:00 AM,023XX W 59TH ST,0460,BATTERY,SIMPLE,STREET,false,false,0824,008,16,63,08B,1162034,1865479,2016,09/08/2016 03:48:43 PM,41.786537951,-87.681441159,"(41.786537951, -87.681441159)"
10666030,HZ416695,09/01/2016 07:00:00 AM,009XX S MASON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1513,015,29,25,06,1136850,1895647,2016,09/08/2016 03:48:43 PM,41.869810616,-87.773058991,"(41.869810616, -87.773058991)"
10666019,HZ416166,09/01/2016 07:00:00 AM,067XX S RACINE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0724,007,17,67,05,1169481,1860093,2016,09/08/2016 03:48:43 PM,41.77159993,-87.65429251,"(41.77159993, -87.65429251)"
10665865,HZ416479,09/01/2016 07:00:00 AM,087XX S ESCANABA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0423,004,10,46,05,1196905,1847589,2016,09/08/2016 03:48:43 PM,41.736649912,-87.554181981,"(41.736649912, -87.554181981)"
10665820,HZ416521,09/01/2016 07:00:00 AM,021XX N LARAMIE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2515,025,37,19,05,1141372,1913714,2016,09/08/2016 03:48:43 PM,41.919306431,-87.756010851,"(41.919306431, -87.756010851)"
10665790,HZ415738,09/01/2016 07:00:00 AM,033XX W FILLMORE ST,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,POLICE FACILITY/VEH PARKING LOT,true,false,1134,011,24,29,13,1154228,1895173,2016,09/08/2016 03:48:43 PM,41.868180939,-87.709271389,"(41.868180939, -87.709271389)"
10665418,HZ415867,09/01/2016 07:00:00 AM,012XX S CENTRAL PARK AVE,0810,THEFT,OVER $500,ALLEY,false,false,1021,010,24,29,06,1152575,1893902,2016,09/08/2016 03:48:43 PM,41.864725987,-87.715373505,"(41.864725987, -87.715373505)"
10665060,HZ415782,09/01/2016 07:00:00 AM,035XX S UNION AVE,0460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0915,009,11,60,08B,1172213,1881359,2016,09/08/2016 03:48:43 PM,41.829896436,-87.643652451,"(41.829896436, -87.643652451)"
10665050,HZ415752,09/01/2016 07:00:00 AM,029XX E 87TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,false,true,0423,004,10,46,26,1196965,1847845,2016,09/08/2016 03:48:43 PM,41.737350906,-87.553953672,"(41.737350906, -87.553953672)"
10665284,HZ415747,09/01/2016 07:10:00 AM,062XX N GLENWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2433,024,40,77,14,1165848,1941393,2016,09/08/2016 03:48:43 PM,41.994771417,-87.665289983,"(41.994771417, -87.665289983)"
10665168,HZ415813,09/01/2016 07:20:00 AM,038XX W MAYPOLE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,false,false,1122,011,28,26,15,1150807,1900941,2016,09/08/2016 03:48:43 PM,41.88407653,-87.721679741,"(41.88407653, -87.721679741)"
10665066,HZ415759,09/01/2016 07:25:00 AM,011XX W BELMONT AVE,0810,THEFT,OVER $500,SIDEWALK,false,false,1933,019,44,6,06,1168208,1921402,2016,09/08/2016 03:48:43 PM,41.939864617,-87.657189173,"(41.939864617, -87.657189173)"
10674595,HZ426628,09/01/2016 07:30:00 AM,116XX W IRVING PARK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1654,016,41,76,14,1098012,1926026,2016,09/12/2016 03:57:28 PM,41.953783081,-87.915105451,"(41.953783081, -87.915105451)"
10665836,HZ416535,09/01/2016 07:30:00 AM,038XX N TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1733,017,33,16,14,1154705,1925319,2016,09/08/2016 03:48:43 PM,41.950894671,-87.706711704,"(41.950894671, -87.706711704)"
10669706,HZ415771,09/01/2016 07:39:00 AM,010XX N LAWLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1531,015,37,25,08B,1142506,1906351,2016,09/08/2016 03:48:43 PM,41.899080522,-87.752027675,"(41.899080522, -87.752027675)"
10665188,HZ415834,09/01/2016 07:40:00 AM,072XX N OCONTO AVE,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,RESIDENCE,false,true,1611,016,41,9,04A,1127056,1947587,2016,09/08/2016 03:48:43 PM,42.012510055,-87.807847424,"(42.012510055, -87.807847424)"
10666294,HZ417128,09/01/2016 07:45:00 AM,004XX N WABASH AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,06,1176668,1903146,2016,09/08/2016 03:48:43 PM,41.889582108,-87.626649232,"(41.889582108, -87.626649232)"
10666102,HZ416751,09/01/2016 07:45:00 AM,007XX E 35TH ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0211,002,4,35,06,1182010,1881920,2016,09/08/2016 03:48:43 PM,41.831214404,-87.607690257,"(41.831214404, -87.607690257)"
10665760,HZ415850,09/01/2016 07:46:00 AM,005XX W ROOSEVELT RD,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,false,false,0124,001,2,28,26,1173209,1894980,2016,09/08/2016 03:48:43 PM,41.867251542,-87.639594427,"(41.867251542, -87.639594427)"
10667293,HZ417861,09/01/2016 07:59:00 AM,079XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,ATM (AUTOMATIC TELLER MACHINE),false,false,0624,006,8,44,03,1182934,1852471,2016,09/08/2016 03:48:43 PM,41.750382338,-87.605215174,"(41.750382338, -87.605215174)"
10689407,HZ443628,09/01/2016 08:00:00 AM,019XX W TOUHY AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2424,024,49,1,11,1162099,1947848,2016,09/26/2016 03:52:09 PM,42.01256354,-87.67889903,"(42.01256354, -87.67889903)"
10687278,HZ441562,09/01/2016 08:00:00 AM,061XX S KIMBARK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0314,003,20,42,11,1185698,1864503,2016,09/22/2016 03:53:59 PM,41.783334618,-87.594708112,"(41.783334618, -87.594708112)"
